I minb6 - 	IV min - 	V dom7 - 	IV min -
I minb6 -	IV min - 	II min7b5 -	V 7b9b13 -
I minb6 -	IV min - 	bVI 7#11 -	V 7b9b13 -
I minb6 -	IV min - 	#IV dim7 -	V 7b9b13 -
I minb6 -	IV min -	V 7sus -	V 7b9b13 -
I minb6 -	bIII dom7 -	IV min - 	V 7b9b13 -
I minb6 -	bIII maj -	IV min -	V 7b9b13 -
I minb6 -	bIII dom7 -	IV min /bVI	V 7b9b13 -
I minb6 -	bIII maj -	IV min /bVI	V 7alt -
I minb6 -	bIII dom7 -	II min7b5 -	V 7b9b13 -
I minb6 -	bIII maj -	II min7b5 -	V 7b913 -
I minb6 -	bIII dom7 -	II min7b5 -	bII 7#11 -
I minb6 -	bIII maj -	II min7b5 -	bII 7#11 -
I minb6 -	bIII dom7 -	bVI maj7#11 -	bII 7#11 -
I minb6 -	bIII dom7 -	bVI 7#11 -	V 7b9b13 -
I minb6 -	bIII maj -	bVII dom7 - 	VII dim7 -
I minb6 -	bIII maj -	bVII dom7 -	V 7b9b13 -
I minb6 -	bVII dom7 -	IV min -	V 7b9b13 -
I minb6 -	V 7b9b13 -	I minb6 -	V 7b9b13 -
